speaker,text,split
Joey Tribbiani,Oooh.,train
Monica Geller,"Yeah, Ginger something.",train
Joey Tribbiani,"Nooo. No, no, ah, are you sure it wasn't something that sounded like Ginger, like ah, Gingeer?",train
Monica Geller,"No, it was Ginger. I remember, because when he told me, I said, 'the movie star.'",train
Joey Tribbiani,"Aww, man. That's the girl I was hiding from. When she finds out he's my roommate, she's gonna tell him what I did.",train
Monica Geller,"Well, what did you do?",train
Joey Tribbiani,"What, oh, oh, oh, no, no, I can't, I can't tell you that, it's like the most awful, horrible thing I've ever done my whole life.",train
Monica Geller,"Y'know what, don't tell us. We'll just wait until Chandler gets home, because it'll be more fun that way.",train
Joey Tribbiani,"All right!! Okay, it was like four years ago. Okay, Ginger and I had gone out a few times, and then this one weekend, we went up to her Dad's cabin. Just me, her, and her annoying little dog Pepper. Well that night, I cooked this really romantic dinner....",train
Monica Geller,You gave her food poisoning!?,train
Joey Tribbiani,"I wish. No. After dinner, me, her, and Pepper all fell asleep in front of the fire. Well I woke up in the middle of the night and I saw that the fire was dying out. So, I picked up a log and threw it on. Or, at least what I thought was a log.",train
Phoebe Buffay,Oh my God!! You threw Pepper on the fire!,train
Joey Tribbiani,"I wish. See, I guess another thing I probably should've told you about Ginger is that she kinda has a ah, artificial leg.",train
Monica Geller,"Oh my God! Joey, what did you do after you threw her leg on the fire?",train
Joey Tribbiani,I ran!!,train
Chandler Bing,"Well, that's the best kiss I've had with anyone I've ever met in a men's room.",train
Chandler Bing,"Op, foot in a puddle, foot all in a puddle.",train
Chandler Bing,"Yeah, we're gonna have to get you out of those shoes.",train
Chandler Bing,"No, really you're gonna freeze.",train
Chandler Bing,"You're not, what do you, what do you got a bionic foot?",train
Rachel Green,Funny book?,train
Ross Geller,"Hmmm. Oh, no, no, I just thinking about something funny I heard today. Umm, Mark, Mark saying 'I'll see you Saturday.'",train
Rachel Green,"Yeah, at the lecture, I told you that last week, you said you didn't mind.",train
Ross Geller,"Oh, no, no, no, it's-it's not the lecture ah, I mind, umm....",train
Rachel Green,"Oh, please tell me it's not because I'm going with Mark.",train
Ross Geller,"Oh, well...",train
Rachel Green,Oh my God!!! Ross!!,train
Ross Geller,"Well, I'm sorry, but ah, look if you're not working with him anymore, why do you have to still do stuff with him?",train
Rachel Green,"Because, he's my friend.",train
Ross Geller,"Okay, but do you really need another friend? I mean...",train
Rachel Green,"Okay, well if I stop playing with Joey and Chandler, can I play with Mark?",train
Ross Geller,Is that funny? Am I supposed to be laughing?,train
Rachel Green,"I don't know, you thought 'See you Saturday' was funny. Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with. You guys would never want to go to a lecture with me.",train
Ross Geller,Pa-haa!! I would love to go with you.,train
Rachel Green,Really!?,train
Ross Geller,"Yeah, hey I-I have clothes, I even pick them out. I mean for, for all you know I could be a fashion..... monger.",train
Rachel Green,"Okay. Honey, I would love for you to go with me. What?",train
Ross Geller,"What should I wear, now I'm all nervous.",train
Monica Geller,Y'know they say a watched pot never beeps.,train
Phoebe Buffay,"It's just y'know, been a couple of hours, and she hasn't called. Not that I even care, y'know.",train
Monica Geller,Phoebe why don't you just call her? You obviously want to.,train
Phoebe Buffay,You think you know me so well.,train
Monica Geller,"Well, don't 'cha wanna?",train
Phoebe Buffay,Yeah.,train
Monica Geller,"Okay, well I do know you.",train
Phoebe Buffay,That's what I said.,train
Monica Geller,Well so?,train
Phoebe Buffay,"I can't. I can't. She dumped me, I mean I totally trusted her and then one day it was 'Okay, bye Pheebs' gone. Y'know what the saddest part is, when we were playing together, that was like the most fun I've ever had in like all my lives.",train
Phoebe Buffay,I stepped in something icky.,train
Ross Geller,I'm really glad we came. You're so pretty. I love you.,train
Rachel Green,Oh.,train
Phoebe Buffay,"Smelly cat, smelly cat, what are they feeding you? Smelly cat, smelly cat, it's not your fault.",train
Phoebe Buffay,"Oh, yeah!",train
Phoebe Buffay,"I..., a jingle? No, no-no-no, no.",train
Phoebe Buffay,"Okay, well if I was in this for the money, I'd be a millionaire by now, y'know. You just got to get out of that jingle head sweetie.",train
Phoebe Buffay,"That's okay. All right, I'm gonna play song that's really, really sad. It's called Magician Box Mix Up.",train
Monica Geller,Hi!,train
Chandler Bing,Hey.,train
Monica Geller,"Oh, can I borrow this? My milk's gone bad.",train
Chandler Bing,"Oh, I hate that. I once had a thing of half and half, stole my car.",train
Monica Geller,"So umm, how was your date with Ginger?",train
Chandler Bing,"Great. It was great. She's ah, she's great, great looking, great personality, she's greatness.",train
Monica Geller,"Sounds like she's got the ah, whole package.",train
Chandler Bing,"Joey told you about the leg, huh?",train
Monica Geller,Uh-huh.,train
Chandler Bing,"Oh God, it freaked me out. Okay, I know it shouldn't have, but it did. I mean I like her, I don't want to stop seeing her, but every so often it's like 'Hey, y'know what, where's your leg?' I mean I'm the smallest person in the world aren't I? I'm the smallest person in the world.",train
Joey Tribbiani,Morning.,train
Chandler Bing,Actually he's the smallest person in the world.,train
Joey Tribbiani,Heard about the leg burnin' huh?,train
Chandler Bing,It came up.,train
Joey Tribbiani,"Listen, I ah, I know it's a longshot. But, by any chance did she find that funny?",train
Ross Geller,So I nodded off a little.,train
Rachel Green,Nodded off!! Ross you were snoring. My father's boat didn't make that much noise when it hit rocks!,train
Ross Geller,Come on! Forty-five minutes! Forty-five minutes the man talked about strappy backed dresses.,train
Rachel Green,"Well okay, how about four hours in a freezing museum auditorium listening to Professor Pitstains and he's 'Hey everybody! Remember that thing that's been dead for a gazillion years. Well there's this little bone we didn't know it had!'",train
Ross Geller,"First of all it's Professor Pittain! And second of all, that little bone, proved that, that particular dinosaur had wings, but didn't fly.",train
Rachel Green,"Okay, see now, what I just heard, blah-blah-blah, blah-blah-blah-blah-blah, blah-blah-blah, blah, blah.",train
Ross Geller,"Y'know what, 100 million people went to see a movie about what I do, I wonder how many people would go see a movie called, Jurassic Parka.",train
Rachel Green,"Oh, that is so...",train
Ross Geller,"No-no-no, a bunch of out of control jackets take over an island.",train
Rachel Green,"Y'know if what I do is so lame, then why did you insist on coming with me this morning? Huh? Was it so I just wouldn't go with Mark?",train
Ross Geller,"No. I... I wanted to be with you. I don't know, I feel like lately, I feel like you're slipping away from me, y'know. With this new job, and all these new people, and you've got this whole other life going on. I-I-I know it's dumb, but I hate that I'm not a part of it.",train
Rachel Green,"It's not dumb. But, maybe it's okay that you're not a part of it. Y'know what I mean? I mean it's like, I-I-I like that you're not involved in that part of my life.",train
Ross Geller,That's a little clearer.,train
Rachel Green,"Honey see, it doesn't mean that I don't love you. Because I do. I love you, I love you so much. But my work it's-it's for me y'know, I'm out there, on my own, and I'm doing it and it's scary but I love it, because it's mine. I, but, I mean is that okay?",train
Ross Geller,"Sure, I-I-I...",train
Chandler Bing,"No. No. Actually I forgot, what is the deal with that again?",train
Chandler Bing,No. No. I don't think so.,train
Chandler Bing,That's-that's my nubbin.,train
Chandler Bing,"It's kinda a ah, a third nipple kinda thing.",train
Chandler Bing,"Well, y'know two regulars. And ah one that barely qualifies as... Ahh, what?",train
Chandler Bing,"You ah, you have, you have to leave, now? How come?",train
Phoebe Buffay,"Oh, I thought you weren't coming. What? Where were you?",train
Phoebe Buffay,"Okay, don't give me a reason to get mad, okay",train
Phoebe Buffay,"No, look, I told you that I didn't want you to try and sell it, and you just, you big fat did it anyway. God, y'know what, I think five years ago I probably would've done anything to play with you but, I can do it by myself. And if I can't trust you then just forget it.",train
Phoebe Buffay,"Okay y'know what you have to choose. All right, if-if the most important thing on the planet to you is this cat poopy thing then, okay you can have Smelly Cat, but we won't be partners. So what's it gonna be?",train
Monica Geller,"Sorry, Pheebs.",train
Joey Tribbiani,Yeah. You okay?,train
Phoebe Buffay,"Yeah. I actually am, yeah. Y'know life-life's gonna had you all kinds of stuff, y'know you learn your little lessons and hopefully you grow. Wanna hear a new song?",train
Joey Tribbiani,Yeah.,train
Monica Geller,We'd love too.,train
Phoebe Buffay,Okay. 'Jingle bitch screwed me over! Go to hell jingle whore! Go to hell Go to hell. Go to hell-hell-hell.' That's all I have so far.,train
Chandler Bing,Well hello!,train
Joey Tribbiani,Where have you been?,train
Chandler Bing,The doctor.,train
Ross Geller,Is everything okay?,train
Chandler Bing,"Oh yes! Just had me a little nubbin-ectomy. Yep! Two nipples, no waiting.",train
Monica Geller,Wow! It's like Rachel in High School.,train
Rachel Green,What?!!,train
Monica Geller,"Come on! Come on, I was kidding! It was such an obvious joke!",train
Chandler Bing,"That was an obvious joke, and I didn't think of it. Why didn't I think of it? The source of all my powers. Oh dear God, what have I done!",train
Joey Tribbiani,"Hey, how much will you give me to eat this whole jar of olives?",train
Monica Geller,"I won't give you anything, but you'll owe me 2.95.",train
Joey Tribbiani,Done.,train
Phoebe Buffay,Hey. I need an atlas! I need an atlas!,train
Monica Geller,Why? Do you have a report due?,train
Phoebe Buffay,"I have a date with this diplomat I met while I was giving free massages outside the UN and, I don't know where his country is.",train
Monica Geller,"Okay, let's start with the free messages outside the UN.",train
Phoebe Buffay,"Oh!! That's my new thing. I figure bodies at peace, make peace.",train
Monica Geller,Wow! You might just get the first Nobel prize in rubbing. So what country is this guy from?,train
Phoebe Buffay,Ick-neck-tree-anis..... There's a 'g' in there.,train
Monica Geller,Where's that?,train
Phoebe Buffay,In your atlas!,train
Monica Geller,I don't have an atlas.,train
Phoebe Buffay,Oh.,train
Monica Geller,"Oh, but wait I do have a globe.",train
Phoebe Buffay,Oh.,train
Monica Geller,Hold on.,train
Joey Tribbiani,So Pheebs what's this guy like?,train
Phoebe Buffay,"Umm, well he's very dashing, y'know, and umm, very, very sophisticated, and he doesn't speak any English, but according to his translator, he totally gets me.",train
Monica Geller,"'Kay, here you go.",train
Phoebe Buffay,What is this?,train
Monica Geller,"It's a globe and, a pencil sharpener.",train
Chandler Bing,"Hey, does anybody need anything copied? I'm going down to the Xerox place.",train
Monica Geller,"Oh, no thanks.",train
Chandler Bing,"Okay listen, just give me anything I can make two of.",train
Monica Geller,"Well, if you don't have anything to copy, why are you going down there?",train
Joey Tribbiani,"Yeah, are you just going down there to gawk at that hot girl with the belly button ring again?",train
Chandler Bing,Yeah! You wanna come?,train
Joey Tribbiani,Yeah!,train
Chandler Bing,Come on Chloe! Finish up with your customer first. Come on Chloe! Come on Chloe!!,train
Chandler Bing,Uh-oh.,train
Joey Tribbiani,"Uh, y'know what, we're having second thoughts about our copying needs. And we'll need a little more time to think about it.",train
Chandler Bing,"Okay, that hurt us.",train
Chandler Bing,"Well ah, ........y'know.",train
Joey Tribbiani,Both of us?,train
Joey Tribbiani,We'll be there.,train
Chandler Bing,"All right, rock on.",train
Phoebe Buffay,"Me too. Although this city is my home, so. So that's dumb what I said, don't tell him I said that. Umm, you make something up. Nice, thank you. This is me. Here.",train
Phoebe Buffay,"Thank you, very much! Oh! Thank you!",train
Phoebe Buffay,"Okay, y'know what, you don't have to do that now. No-no-no-no!! Not him, you don't! Well the moment's over.",train
Phoebe Buffay,Oh.,train
Phoebe Buffay,See there it is right there.,train
Monica Geller,Wow! It's small.,train
Phoebe Buffay,Yeah. But Sergei said it took the Germans six weeks to get all the way across it.,train
Monica Geller,"So you had fun, huh?",train
Phoebe Buffay,"Yeah. Except for, y'know when you're on a date and you're getting along really great but the guy's translator keeps getting in the way.",train
Monica Geller,No.,train
Ross Geller,Hey.,train
Ross Geller,"What is ah, Rach in her room?",train
Monica Geller,"Oh no, she's still at work, but she told me to tell you to call her.",train
Ross Geller,Oh what?! Is she gonna cancel on me again?! How can she do this? Doesn't she know it's our anniversary?,train
Monica Geller,"All right ah, Ross, this is the extent of my knowledge on the subject. Call Rachel.",train
Ross Geller,What's that on the bottom?,train
Monica Geller,"Oh that's my doodle of a ladybug, with a top hat. She's fancy.",train
Rachel Green,Hello.,train
Ross Geller,"Hey, honey.",train
Rachel Green,"Oh, hi.",train
Ross Geller,"Hey, what's going on?",train
Rachel Green,"Well, there was a disaster in shipping and I've got to get this order in. Honey, I'm so sorry, but it looks like I'm gonna be here all night.",train
Ross Geller,"What, do you, well umm, oh how about I come up there?",train
Rachel Green,"No-no-no, no, honey please, I've got, I've just have so much to deal with.",train
Phoebe Buffay,"Anyway, I'm going out with Sergei again tonight, and um, could you come and be the translator's date? So that when we, it's time for our alone time, you two could split off. Y'know, he's really, he's kinda cute.",train
Monica Geller,"Yeah, well kinda cute, like really kinda cute, or kinda cute like your friend Spackel Back Larry?",train
Phoebe Buffay,"Hey, don't call him that! His name is Spackel Back Harry!",train
Chandler Bing,"Hey, y'know what, maybe we should get going. I mean what time did Chloe say we should be there?",train
Joey Tribbiani,"Uh, 10:30.",train
Chandler Bing,What time is it now?,train
Joey Tribbiani,4:30.,train
Chandler Bing,"Yeah all right, so we'll hang out.",train
Joey Tribbiani,"Yeah. Hey, remember when she brought up that thing about the three of us?",train
Chandler Bing,Yes. Vividly.,train
Joey Tribbiani,She was kidding about that right?,train
Chandler Bing,"Yeah, I-I-I think so. Yeah, I-I think so...",train
Joey Tribbiani,"God, that would be weird it that situation presented itself tonight, huh?",train
Chandler Bing,"Yeah. Yeah, I mean what, what would we do?",train
Joey Tribbiani,"Dude, I don't know.",train
Chandler Bing,She was kidding.,train
Joey Tribbiani,Yeah.,train
Chandler Bing,"She was.... But y'know what, just in case, maybe we should come up with a set of ground rules.",train
Joey Tribbiani,"Yeah, for sure. Okay. Probably want the first thing to be, never open your eyes. Y'know, because you don't want to be doing something and then look up and see something you don't want to be seeing.",train
Chandler Bing,"Yeah. Good call, nice one. Hold it!! Hold it! What if me eyes are closed, and, and my hand is out there....",train
Joey Tribbiani,"Ah!! Okay! Eyes open at all times! Oh, hey, how do we decide where we... y'know each would, y'know be?",train
Chandler Bing,"Right. Right. Well ah, y'know we could flip for it.",train
Joey Tribbiani,"Yeah, I guess, but what's like heads and what's tails?",train
Chandler Bing,"Well it you don't know that, then I don't want to do this with you.",train
Rachel Green,"No, no, no, I'm looking at a purchase order right here and it clearly states that we ordered the Rivera bikini in a variety of sizes and colours. And.... What does it matter, what I'm wearing?! Can I please speak to your supervisor? Thank you. We're holding.",train
Ross Geller,Hi!,train
Rachel Green,"Oh!! My God, what are you doing here?",train
Ross Geller,Well you said you couldn't go out so....,train
Rachel Green,"Ross honey, this is very nice, but, but I-I got a crisis.",train
Ross Geller,"Yeah, but I got cous-cous!",train
Rachel Green,"Honey, honey, I'm sorry, I know it's our anniversary but I told you on the phone I don't have time to stop.",train
Ross Geller,"Okay, you don't have to stop, I'm invisible, I'm not here.",train
Rachel Green,"But I don't, hmm... Oh, who approved that order?! Well there is no Mark Robbinson in this office. Get me Mark on the phone!",train
Ross Geller,Yeah!!,train
Rachel Green,"Well, let me just check that with what I got here, all right see 038 is not the number for this store, 038 is Atlanta. And I...",train
Ross Geller,Pepper?,train
Rachel Green,None for me.,train
Ross Geller,"Okay sorry, whew.",train
Rachel Green,"I'm sorry, as I was saying the store number is wrong, and I'm sorry but that's... Oh my God!!",train
Ross Geller,"Okay, that's a fire. Oh yeah. Oh yeah.",train
Rachel Green,"Excuse me, I'm sorry, I'm gonna have to call you back, I've got a Schemp in my office. What are you doing?",train
Ross Geller,"I'm sorry. But ah, hey, oh, somebody's off the phone, how 'bout a glass of wine by the fire, I could get it going again.",train
Rachel Green,"Ross you're not listening to me, I don't have time to stop.",train
Ross Geller,"Come on Rach, you don't have what, ten minutes?",train
Rachel Green,I don't have ten minutes!!,train
Ross Geller,"What? Sophie, does she have ten minutes?",train
Rachel Green,"Hey, Ross!!! I told you I don't!",train
Ross Geller,"Don't yell at me okay, this is the most I've seen you all week.",train
Rachel Green,"Look, I cannot do this right now, okay, I've got a deadline, would you just go home, I'll talk to you later.",train
Ross Geller,"Yeah, but wait...",train
Rachel Green,Good bye!,train
Ross Geller,Hey.,train
Rachel Green,"Hi. Look um, about what happened earlier...",train
Ross Geller,"No, hey, well, I-I completely understand. You were, you were stressed.",train
Rachel Green,I was gonna give you a chance to apologise to me.,train
Ross Geller,For what? For letting you throw me out of your office?,train
Rachel Green,You had no right coming down to my office Ross. You do not bring a picnic basket to somebody's work! Unless maybe they were a park ranger!,train
Ross Geller,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",train
Rachel Green,"But I told you, I didn't have the time!",train
Ross Geller,"Yeah, well you never have the time. I mean, I don't feel like I even have a girlfriend anymore, Rachel.",train
Rachel Green,"Wh, Ross what do you want from me? You want me, you want me to quit my job so you can feel like you have a girlfriend?",train
Ross Geller,"No, but it'd be nice if you realised, it's just a job!",train
Rachel Green,Just a job!,train
Ross Geller,Yes.,train
Rachel Green,Ross do you realise this is the first time in my life I'm doing something I actually care about. This is the first time in my life I'm doing something that I'm actually good at. I mean. if you don't get that...,train
Ross Geller,"No, hey, I get that, okay, I get that big time. And I'm happy for ya, but I'm tired of having a relationship with your answering machine! Okay, I don't know what to do anymore.",train
Rachel Green,Well neither do I!,train
Ross Geller,Is this about Mark?,train
Rachel Green,Oh my God.,train
Ross Geller,"Okay, it's not, it's not.",train
Rachel Green,"Oh my God. I cannot keep having this same fight over and over again, Ross, no, you're, you're, you're making this too hard.",train
Ross Geller,"Oh I'm, I'm making this too hard. Okay, what do you want me to do.",train
Rachel Green,"I don't know, I don't know. Urrrgh! Look, maybe we should take a break.",train
Ross Geller,"Okay, okay, fine, you're right. Let's ah, let's take a break, let's cool off, okay, let's get some frozen yogart, or something..",train
Rachel Green,No. A break from us.,train
Ross Geller,"Oh, hi Chloe.",train
Chandler Bing,And that's the only colour that comes in.,train
Chandler Bing,"So, what are you doing here? I thought tonight was your big anniversary dinner.",train
Ross Geller,"Yeah, little change in plans. Ahh, we're gonna break-up instead.",train
Monica Geller,"Oh, and I can also speak a little French. Voulez-vous coucher avec moi ce soir? Why? What did I say?",train
Monica Geller,Oh my God! No wonder I get such great service at Cafe Maurice.,train
Phoebe Buffay,"Knock, knock, knock, knock, hi. Um, could you please tell Sergei that um, I was fascinated by what Boutros Boutros Gali said in the New York Times.",train
Phoebe Buffay,You didn't say Boutros Boutros Gali.,train
Phoebe Buffay,Interesting.,train
Phoebe Buffay,"Okay, ah, before you get all talky again, umm, could you also please tell Sergei that I really like his suit.",train
Monica Geller,I'm also thinking about opening up my own restaurant.,train
Phoebe Buffay,"Monica, can I talk to you behind my menu, please. What are you doing?",train
Monica Geller,"Well, I was having a conversation.",train
Phoebe Buffay,"Yeah but, Mischa is so interested in you, that Sergei and I haven't been able to say two words to each other.",train
Monica Geller,What do you want me to do? Just sit here silently while you three have a conversation?,train
Phoebe Buffay,That would be great. Thank you.,train
Rachel Green,Hello!,train
Rachel Green,Oh.,train
Rachel Green,"No! Sorry, I just thought you were somebody else. Hi!",train
Rachel Green,"Yeah. Well, umm.....",train
Rachel Green,"Yeah, I'm fine.",train
Rachel Green,"No! Really, no, please, please, that's, that's okay.",train
Rachel Green,"Oh, yeah, I'm not, I'm not hungry.",train
Rachel Green,"Oh. Okay, bye.",train
Joey Tribbiani,So what are you gonna do?,train
Ross Geller,"What can I do? One person wants to break-up, you break-up.",train
Chandler Bing,"Hey, no way! Come on, this is you guys, call her and work it out.",train
Ross Geller,"Oh come on, we just had this huge fight, all right, don't I have to wait a while?",train
Chandler Bing,"Hey, this isn't like swimming after you eat, pick up the phone!!",train
Chandler Bing,Y'know that whole swimming thing is a myth.,train
Joey Tribbiani,"Yeah, tell that to my Uncle Lenny.",train
Chandler Bing,Why? What happened to him?,train
Joey Tribbiani,"Nothing, he's just really believes in that.",train
Rachel Green,"Oh, and then, we got into this big, stupid fight. I just, it was awful. I told him he treats me like a park ranger, or something, oh and then I told him I wanted to take a break, I don't want to take a break.",train
Rachel Green,"No. And then I called him, and he wasn't there.",train
Rachel Green,"Oh, thank you that's very helpful, I'm glad you came over.",train
Rachel Green,Hello.,train
Ross Geller,Hi! It's me.,train
Rachel Green,"Hi! Oh, I'm so glad you called.",train
Ross Geller,"Really? I've been thinking, this is crazy, I mean don't, don't you think we can work on this?",train
Ross Geller,Who's that?,train
Rachel Green,Nobody.,train
Ross Geller,Is that Mark?,train
Rachel Green,"Umm, honey, look he just came over to....",train
Ross Geller,Yeah! Got it!,train
Ross Geller,"Ah, that's okay, thanks.",train
Ross Geller,"Look, I don't feel like dancing, I feel like having a drink. Okay?",train
Monica Geller,Oh. Can I have a tissue?,train
Phoebe Buffay,"Oh, yeah, sure. I just hope you, hope you don't accidentally suck it up through your nose and choke on it.",train
Phoebe Buffay,"Well, tell him, apology accepted.",train
Phoebe Buffay,"Excuse me, but umm, isn't he paying for your dinner?",train
Monica Geller,"Hey, the man's dog just died.",train
Monica Geller,It will be my pleasure. My guy has diplomatic coupons. Your guy can't even say coupons.,train
Phoebe Buffay,"Plate! Yes, plate.",train
Phoebe Buffay,"See, we don't need them.",train
Phoebe Buffay,Yeah.,train
Ross Geller,I like this song.,train
Ross Geller,"Oh, no, no.",train
Rachel Green,"Oh, be home, be home, be home, be home, be home, be home. Be home. Be home, be home, be home. Oh, you're not home.",train
Phoebe Buffay,Ameri-can.,train
Phoebe Buffay,Ameri-can. Y'know it's a very hard language. Let's do it again.,train
Ross Geller,"I mean, I don't feel like I even have a girlfriend anymore.",train
Rachel Green,You want me to just quit my job so that you can feel like you've got a girlfriend?,train
Ross Geller,Is this about Mark?,train
Rachel Green,Oh my God.,train
Ross Geller,"Okay, it's not, it's not.",train
Rachel Green,"Oh my God. I cannot keep having this same fight with you Ross! Look, urrgh, maybe we should take a break.",train
Ross Geller,"Fine, you're right. Let's ah, let's take a break, let's cool off, okay, let's get some frozen yoghurt, or something..",train
Rachel Green,No. A break from us.,train
Rachel Green,"Then, we had this big, stupid fight, and I said I wanted to take a break, I don't want to take a break.",train
Ross Geller,"I've been thinking, this is crazy, I mean don't, don't you think we can work on this?",train
Ross Geller,Who's that?,train
Rachel Green,Nobody.,train
Ross Geller,Is that Mark?,train
Rachel Green,"Umm, honey, look he just came over to....",train
Ross Geller,Yeah! Got it!,train
Monica Geller,Hey.,train
Rachel Green,Hey.,train
Monica Geller,How's the big anniversary dinner?,train
Rachel Green,"Well, we never actually got to dinner.",train
Monica Geller,"Ohhh, nice.",train
Rachel Green,"No, we kinda broke up instead.",train
Monica Geller,What?!,train
Rachel Green,"God, Monica it's on the ceiling.",train
Monica Geller,"That's okay, this is more important than fruit on my ceiling! You broke up?!",train
Rachel Green,"Yeah, but it's okay, because when Ross left Mark came over.",train
Monica Geller,Oh no!!,train
Rachel Green,No.,train
Monica Geller,"Rachel, you and Mark?!",train
Rachel Green,"No, no-no, it's okay, calm down. Mark and I talked, and I realised how much I love your stupid brother, and, yeah, we got our problems, but I really want to make it work.",train
Rachel Green,"Hi, it's me. I've been trying to reach you all night. I feel awful. Please, Ross, you gotta know there is nothing between me and Mark. This whole break-up thing is just stupid.",train
Ross Geller,Yeah!!,train
Rachel Green,"Eh, I'm just so sorry I put you through it. And, I y'know, I don't want to get back together over a machine.",train
Ross Geller,Na-huh.,train
Rachel Green,"So, I love you.",train
Ross Geller,I love you.,train
Rachel Green,"And y'know what, I'm gonna, I'm gonna go to bed now, but ah, on my way to work tomorrow morning, I'm gonna stop by around 8:30.",train
Ross Geller,Okay.,train
Rachel Green,Bye.,train
Ross Geller,"Chloe, Chloe how's it coming?!!",train
Ross Geller,"Umm, oh, hey, I don't know. How about a big one?",train
Ross Geller,"Well then a small one!! Listen, let's, we kinda have to get going!",train
Ross Geller,"You, you sure you need shoes? Okay.",train
Ross Geller,"Yeah, y'know the ah, the girlfriend I told you about last night? Well it turns out she ah, she wants to get back together with me. Oh, I found it!!",train
Ross Geller,Yeah!,train
Ross Geller,"Yes, yes I am, one of the many things I'm feeling. Well....",train
Ross Geller,"Oh, thank you. Hey, hey. Rachel!!!!",train
Rachel Green,"Hi. Ohhh, you got my message.",train
Ross Geller,"Yeah, oh hey, you are right on time.",train
Rachel Green,So what do you say? Can I be your girlfriend again?,train
Ross Geller,"Yes, you can, very much.",train
Ross Geller,Ahhhh!!,train
Phoebe Buffay,Hey!,train
Monica Geller,Hey.,train
Phoebe Buffay,"Hey, why are you mopping your ceiling?",train
Monica Geller,"Oh, there's banana on it.",train
Phoebe Buffay,"Wow, I have the spirit of an old Indian women living in mine.",train
Monica Geller,So then you know?,train
Phoebe Buffay,"The mailman was downstairs, so I brought up your mail.",train
Monica Geller,"Oh, good. Thanks.",train
Phoebe Buffay,Now what is Fabutec?,train
Monica Geller,"Okay, all right don't judge me to much. Okay? Um, but I saw this info-mercial, and um, I swear to you I have never-ever bought anything on TV before, except for this mop. But there was this stuff on leg waxing, it just, it looked so amazing....",train
Phoebe Buffay,Waxine!!,train
Monica Geller,Yes! Have you seen it?,train
Phoebe Buffay,"Oh, it's incredible! I so want to be a Waxine girl.",train
Monica Geller,I know!!,train
Phoebe Buffay,God. Do think it really doesn't hurt? 'Cause how can they do that?,train
Monica Geller,Hello! Organic substances recently discovered in the depths of the rain forest!,train
Phoebe Buffay,They have the best stuff in there.,train
Chandler Bing,Oh my God! Oh my God!,train
Joey Tribbiani,"Yeah. We figured when we couldn't find you, you'd gone home to make up with Rachel. Which is probably what you shoulda done. Huh?",train
Ross Geller,"You think?! God, I, ah, I'm in hell. I mean what, what am I gonna do? Rachel's all like, 'I love you and, and let's work on this.' And all I can think about is, 'What is she gonna do? What is she gonna say?' when I tell her what I did.",train
Chandler Bing,"Well, before we answer that, I think we should address the more important question. How dumb are you?",train
Ross Geller,"What?! Look, we're trying to rebuild a relationship here, right. How am I supposed to do that here, without being totally honest with each other?",train
Joey Tribbiani,"Look, Ross look, I'm on board about this totally honesty thing, I am, just not about stuff that's gonna get you in trouble.",train
Chandler Bing,"He's right. Nobody's gonna benefit, and you're just gonna hurt her.",train
Joey Tribbiani,"Yeah, and there won't be a relationship left to rebuild.",train
Ross Geller,"Yeah, but don't you think....",train
Chandler Bing,"All right look, if you absolutely have to tell her, at least wait until the timing's right. And that's what deathbeds are for.",train
Ross Geller,"Yeah, okay.",train
Joey Tribbiani,"All right, okay, now, we just have to make sure she doesn't find out some other way. Did you think about the trail?",train
Ross Geller,What trail?,train
Joey Tribbiani,The trail from the woman you did it with to the woman you hope never finds out who did it! You always have to think about the trail!,train
Ross Geller,"Oh, I-I don't think there's any trail.",train
Chandler Bing,"Okay, okay-okay, ah, Chloe works with that guy Issac. Issac's sister is Jasmine. And Jasmine works at that message place with Phoebe. And Phoebe's friends with Rachel. And that's the trail, I did it!",train
Phoebe Buffay,"After applying the Waxine and linen strips to leg number one,",train
Monica Geller,Did that!,train
Phoebe Buffay,Grasp one of the linen strips by its 'easy grab tab' and pull it off in one quick pain free motion.,train
Monica Geller,Okay. Ow!!!!! Ow-oh-oh!,train
Phoebe Buffay,Was it not pain-free?,train
Monica Geller,"No. It was painful. Oh my God , they should call it Pain-zine, now with a little wax.",train
Phoebe Buffay,"Huh, well, the girls in the satin nighties on the commercial don't seem to think it's that bad.",train
Monica Geller,"That's because their nerves are probably deadened from being so stupid. But hey, y'know if you don't believe me, please, by my guest.",train
Phoebe Buffay,Ow-ow-ow-ow! Oh my God!!!,train
Monica Geller,"Now, are you glad we didn't start with the bikini strips?",train
Ross Geller,Chloe? Hi..,train
Ross Geller,You took my watch?,train
Ross Geller,"Just you keep it, listen did you, did you tell anyone about us?",train
Ross Geller,"Exactly. So you didn't, didn't mention anything to Issac right?",train
Ross Geller,"You tell, of course you do. Issac. Issac. Hey, Issac. Issac, hi! Y'know we haven't actually met...",train
Ross Geller,"Yes, I suppose I am a dog. But Issac, see I-I happen to have a girlfriend.",train
Ross Geller,"Yeah, that's the one. Listen, I don't want to hurt her.",train
Ross Geller,"Yeah. Listen, can you keep this information to yourself?",train
Ross Geller,"Actually, no, we're not.",train
Ross Geller,"No, we're not.",train
Ross Geller,"No, we're not!!",train
