ground-truth,model output,input text,input context
Chandler Bing,Chandler Bing,"Wow! Listen, we had a good run. You know, what was it? Four? Five months? I mean, that's more than most people have in a lifetime! So, good-bye, take care, bye-bye then!","Ross Geller: Chandler!!! Chandler!!! Chandler, I saw what you were doing through the window! Chandler, I saw what you were doing to my sister! Now get out here!"
Rachel Green,Ross Geller,"Look, you guys... this is really, really important to me. And it means a lot if you could try to get on board.","Joey Tribbiani: Well, it comes and goes. I wouldn't trust it."
Rachel Green,Monica Geller,"Well, it was good.. until we got back to our apartment, and then we were fooling around and he started to put his hand up my leg and I kept slapping it away!",Chandler Bing: How was your date with Joey?
Joey Tribbiani,Phoebe Buffay,"Can I ask you something? Uhm, what's it like there?","Phoebe Buffay: Anyway, you did what you had to do. I'm okay."
Chandler Bing,Joey Tribbiani,"Hey, can I talk to you about this groomsman thing? If you pick Ross, he'll walk you down the isle just fine. But if you choose me, you'll be getting some comedy!",Rachel Green: Hi.
Joey Tribbiani,Monica Geller,"Oh, that looks great! Good ordering!",Monica Geller: Technicality!
Rachel Green,Rachel Green,"Ross, those things go like 40 miles an hour! Ok? When you're... and there is that moment when you are at the top, when you just don't know if you're gonna return back to earth!","Ross Geller: Look, I'm sorry to hear about your tragedy, ok? But the swings are perfectly safe, and besides Emma loves them. You know what, you should come with us and you'll see!"
Rachel Green,Rachel Green,"Oh, shoot. I had it. Oh, I can't believe this.",Rachel Green: Oh.
Joey Tribbiani,Joey Tribbiani,You son of a bitch!,Chandler Bing: Hey!
Monica Geller,Monica Geller,What?,"Phoebe Buffay: And... moment's over! So, ok, uh, I can forget that. I can forget that and uhm... Oh this is funny! Oh, but you need to know that to... that, to... Oh, ok, well, uhm, I . Ok, ok, I, ok, I.... MONICA I CAN'T DO IT LIKE THIS! THIS IS MY WEDDING! OKAY, I DON'T WANT THIS OR THIS OR THIS OK? I JUST WANTED A SIMPLE WEDDING! WHERE MY FIANCEE CAN GO TO THE BATHROOM ANYTIME HE WANTS! You know what? You're done."
Phoebe Buffay,Phoebe Buffay,"I would love it. Consider it forgotten... But just so you know... however and whenever you decide to propose, I promise I'll say yes. Whether... whether, you know, it is in a basketball game, or in sky writing, or you know, like some lame guy in a cheesy movie who hides it in the cake.","Phoebe Buffay: That woman at the game didn't know what she was talking about. Mike, obviously you have balls."
Joey Tribbiani,Joey Tribbiani,Yeah.,"Chandler Bing: Sorry about the table, man."
Ross Geller,Joey Tribbiani,"Fajitas! Be careful, very hot plate, very hot plate!!","Rachel Green: Look, Charlie, I just want you to know. Ross is just having a little trouble adjusting to the thought of Joey and me. You know, he normally doesn't drink like this."
Ross Geller,Ross Geller,"Ok, ok. I'm gonna come out to Long Island with you, I mean, you can't be alone right now.","Rachel Green: Yeah, they said he's gonna be fine, but he's still heavily sedated."
Phoebe Buffay,Ross Geller,What? You know about the plate thing?,"Rachel Green: Oh! Oh, no!"
Chandler Bing,Monica Geller,I doubt that! Tell her about us last year.,Phoebe Buffay: Hi. I just had the worst anniversary ever.
Chandler Bing,Rachel Green,"You know, our band is playing on Friday.","Ross Geller: Hey, Missy..."
Joey Tribbiani,Joey Tribbiani,"What am I gonna do, I feel like I'm losing my friends.","Joey Tribbiani: Ahh! There's gotta be a way. I mean, you know, if Monica and Chandler move out here and now Phoebe is married to Mike. That just leaves me and Ross and Rach, you know what I mean?"
Phoebe Buffay,Phoebe Buffay,"But he didn't really know, you know. He wasn't planning on coming to Barbados and proposing to me...","Phoebe Buffay: Okay, not a fan of the tough love."
Phoebe Buffay,Phoebe Buffay,"Oh my God, it's all so elegant! When's the dirty stuff starting?","Rachel Green: Oh, d'you like it?"
Joey Tribbiani,Ross Geller,"I had to read the Bible pretty carefully, but... yeah we do.","Ross Geller: Uhm, ministers don't ride the subway for free."
Rachel Green,Rachel Green,A-And??,Rachel Green: What? Oh my God! To who?
Monica Geller,Monica Geller,"2 minutes, 12 pies and a part of one tin! Okay, I see you guys at 4.",Rachel Green: Did you at least win the contest?
Ross Geller,Ross Geller,"Oh, that's OK. I'm sure there are tons of other beautiful paleontologists out there.","Rachel Green: Oh hey Ross... Listen, I heard about you and Charlie. I'm really sorry."
Ross Geller,Ross Geller,"It's an honor to meet you. I can't tell you how long I've been an admirer of your work, I mean, that Nobel prize, whoooo! I mean, I have to tell you that, you're one of the reasons I got into the field.",Ross Geller: I'm ok.
Ross Geller,Ross Geller,Yeah!,Rachel Green: Oh! That's great!
Ross Geller,Ross Geller,I... I don't know..,"Rachel Green: Ross, I am trying to help her become a better person. This is a huge breakthrough for her! She just offered to do something for another human being!!"
Ross Geller,Ross Geller,"It's me. Ron. Look, I um, I now Rachel turned you down but I think there is a way you might be able to get her to come back.","Chandler Bing: Well, we have to do something. We can't have her living next door. Oh, that does it too."
Rachel Green,Rachel Green,"Ok well, well I'm really, I'm sorry about that Joey, but do you think that maybe on some level, you don't want to take off my bra?",Joey Tribbiani: Then I blame you! Yeah! That's right! You threw me off with all your slapping!
Rachel Green,Rachel Green,"Because it is too damn hard Ross. I can't even begin to explain to you how much I'm gonna miss you. When I think about not seeing you every day, it makes me not want to go... Okay, so if you think that I didn't say goodbye to you because you don't mean as much to me as everybody else, you're wrong. It's because you mean more to me. So there, all right, there's your goodbye... Oh!","Ross Geller: Fine, then why didn't you say something?"
Rachel Green,Phoebe Buffay,Oh!,"Rachel Green: How was the honeymoon? Phoebe; Oh, incredible! Oh! Champagne, candle-lit dinners, moonlight walks on the beach, it was sooo ro-man-tic!"
Ross Geller,Ross Geller,Okay.,"Rachel Green: I know, it's huge, and it's scary, and it's... really far, far away from you guys, but this is such an incredible opportunity for me. And I've already talked to them about our situation with Emma, and they said they'll do whatever we need to make us feel comfortable."
Ross Geller,Joey Tribbiani,FOOTBALL!,Chandler Bing: This is like figure skating team all over again. I mean synchronized swimming. I mean- I mean the balance beam. Help me!
Joey Tribbiani,Ross Geller,"It's okay. You know, I totally understand, alright? You guys, make way more sense than her and I ever did, you know. And... I want you to be happy.",Ross Geller: What?
Phoebe Buffay,Phoebe Buffay,"Well, that's what I said, but it turns out, Mike was planning on proposing to me that same way last night!","Rachel Green: Oh, that is so tacky."
Ross Geller,Rachel Green,"Yeah, I'm sure.","Joey Tribbiani: No, no, no, no, that was - that was just for me. Are you sure about this?"
Phoebe Buffay,Phoebe Buffay,"Yeah, I can't say that. uhm... Susie, I'm gonna be straight with you... Mike and I are back together... and uhm... unfortunately that effectively ends your relationship with him. And he's very sorry about that and wishes you the best of luck in all your endeavours.","Phoebe Buffay: Alright... Susie, can I call you Susie?"
Phoebe Buffay,Joey Tribbiani,I knew it!,Chandler Bing: I'm a pretty little girl.
Joey Tribbiani,Joey Tribbiani,Celebrity.,Chandler Bing: Little people?
Ross Geller,Ross Geller,What? I... I...,Ross Geller: I guess!
Chandler Bing,Chandler Bing,Not it! Damn it!,Monica Geller: Not it!
Chandler Bing,Chandler Bing,"You mean that Portuguese couple? Yeah, like you wouldn't have done it.","Monica Geller: Well, because every time we do, you make jokes about swinging and scare them away."
Joey Tribbiani,Joey Tribbiani,Estelle?,"Phoebe Buffay: Joey, it's Estelle."
Joey Tribbiani,Joey Tribbiani,I'm just mad at my agent.,Phoebe Buffay: Hey. Everything ok?
